,title + dj,set_title,set_list,artist,song,spotify_song_name,spotify_id,preview,songs,set_title_split,dj_id,song_id,size,total plays,,,missing songs
190424," - Łukasz Tomaszewski, Ahadadream, Omo Frenchie, SAMA' & Patrice - COSMO Selektor 2431"," - Łukasz Tomaszewski, Ahadadream, Omo Frenchie, SAMA' & Patrice - COSMO Selektor",Yotam Avni - Track For Agoria,Yotam Avni,Track For Agoria,Track for Agoria,12XNpgJJVY12EHg4Z0DstQ,https://p.scdn.co/mp3-preview/1c635049b64673ba0e6829478290644b87c08908?cid=461b02dc885841c0a798981c336f46f0,Track For Agoria, SAMA' & Patrice,2431,13465,4,17,2431 13465,No,Yes
190428," - Łukasz Tomaszewski, Ahadadream, Omo Frenchie, SAMA' & Patrice - COSMO Selektor 2431"," - Łukasz Tomaszewski, Ahadadream, Omo Frenchie, SAMA' & Patrice - COSMO Selektor",Yotam Avni - Track For Agoria,Yotam Avni,Track For Agoria,Track for Agoria,12XNpgJJVY12EHg4Z0DstQ,https://p.scdn.co/mp3-preview/1c635049b64673ba0e6829478290644b87c08908?cid=461b02dc885841c0a798981c336f46f0,Track For Agoria, SAMA' & Patrice,2431,13465,4,17,2431 13465,No,Yes
190432," - Łukasz Tomaszewski, Ahadadream, Omo Frenchie, SAMA' & Patrice - COSMO Selektor 2431"," - Łukasz Tomaszewski, Ahadadream, Omo Frenchie, SAMA' & Patrice - COSMO Selektor",Yotam Avni - Track For Agoria,Yotam Avni,Track For Agoria,Track for Agoria,12XNpgJJVY12EHg4Z0DstQ,https://p.scdn.co/mp3-preview/1c635049b64673ba0e6829478290644b87c08908?cid=461b02dc885841c0a798981c336f46f0,Track For Agoria, SAMA' & Patrice,2431,13465,4,17,2431 13465,No,Yes
190436," - Łukasz Tomaszewski, Ahadadream, Omo Frenchie, SAMA' & Patrice - COSMO Selektor 2431"," - Łukasz Tomaszewski, Ahadadream, Omo Frenchie, SAMA' & Patrice - COSMO Selektor",Yotam Avni - Track For Agoria,Yotam Avni,Track For Agoria,Track for Agoria,12XNpgJJVY12EHg4Z0DstQ,https://p.scdn.co/mp3-preview/1c635049b64673ba0e6829478290644b87c08908?cid=461b02dc885841c0a798981c336f46f0,Track For Agoria, SAMA' & Patrice,2431,13465,4,17,2431 13465,No,Yes
190421," - Łukasz Tomaszewski, Ahadadream, Omo Frenchie, SAMA' & Patrice - COSMO Selektor 3047"," - Łukasz Tomaszewski, Ahadadream, Omo Frenchie, SAMA' & Patrice - COSMO Selektor",Yotam Avni - Track For Agoria,Yotam Avni,Track For Agoria,Track for Agoria,12XNpgJJVY12EHg4Z0DstQ,https://p.scdn.co/mp3-preview/1c635049b64673ba0e6829478290644b87c08908?cid=461b02dc885841c0a798981c336f46f0,Track For Agoria,Łukasz Tomaszewski,3047,13465,4,17,3047 13465,No,Yes
190425," - Łukasz Tomaszewski, Ahadadream, Omo Frenchie, SAMA' & Patrice - COSMO Selektor 3047"," - Łukasz Tomaszewski, Ahadadream, Omo Frenchie, SAMA' & Patrice - COSMO Selektor",Yotam Avni - Track For Agoria,Yotam Avni,Track For Agoria,Track for Agoria,12XNpgJJVY12EHg4Z0DstQ,https://p.scdn.co/mp3-preview/1c635049b64673ba0e6829478290644b87c08908?cid=461b02dc885841c0a798981c336f46f0,Track For Agoria,Łukasz Tomaszewski,3047,13465,4,17,3047 13465,No,Yes
190429," - Łukasz Tomaszewski, Ahadadream, Omo Frenchie, SAMA' & Patrice - COSMO Selektor 3047"," - Łukasz Tomaszewski, Ahadadream, Omo Frenchie, SAMA' & Patrice - COSMO Selektor",Yotam Avni - Track For Agoria,Yotam Avni,Track For Agoria,Track for Agoria,12XNpgJJVY12EHg4Z0DstQ,https://p.scdn.co/mp3-preview/1c635049b64673ba0e6829478290644b87c08908?cid=461b02dc885841c0a798981c336f46f0,Track For Agoria,Łukasz Tomaszewski,3047,13465,4,17,3047 13465,No,Yes
190433," - Łukasz Tomaszewski, Ahadadream, Omo Frenchie, SAMA' & Patrice - COSMO Selektor 3047"," - Łukasz Tomaszewski, Ahadadream, Omo Frenchie, SAMA' & Patrice - COSMO Selektor",Yotam Avni - Track For Agoria,Yotam Avni,Track For Agoria,Track for Agoria,12XNpgJJVY12EHg4Z0DstQ,https://p.scdn.co/mp3-preview/1c635049b64673ba0e6829478290644b87c08908?cid=461b02dc885841c0a798981c336f46f0,Track For Agoria,Łukasz Tomaszewski,3047,13465,4,17,3047 13465,No,Yes
94570," - Łukasz Tomaszewski, Auntie Flo, Deena Abdelwahed, Renegades Of Jazz, Tom Sky - Cosmo Selektor 2324"," - Łukasz Tomaszewski, Auntie Flo, Deena Abdelwahed, Renegades Of Jazz, Tom Sky - Cosmo Selektor",Amadou + Mariam - Bofou Safou (Africaine 808 Remix),Amadou + Mariam,Bofou Safou (Africaine 808 Remix),Bofou Safou (Africaine 808 Remix),13itMacMFXrRqj51WBMSfk,https://p.scdn.co/mp3-preview/e828a56c019f49d6324219ca919117578f680bc8?cid=461b02dc885841c0a798981c336f46f0,Bofou Safou (Africaine 808 Remix), Renegades Of Jazz,2324,13579,1,10,2324 13579,No,Yes
94571," - Łukasz Tomaszewski, Auntie Flo, Deena Abdelwahed, Renegades Of Jazz, Tom Sky - Cosmo Selektor 2807"," - Łukasz Tomaszewski, Auntie Flo, Deena Abdelwahed, Renegades Of Jazz, Tom Sky - Cosmo Selektor",Amadou + Mariam - Bofou Safou (Africaine 808 Remix),Amadou + Mariam,Bofou Safou (Africaine 808 Remix),Bofou Safou (Africaine 808 Remix),13itMacMFXrRqj51WBMSfk,https://p.scdn.co/mp3-preview/e828a56c019f49d6324219ca919117578f680bc8?cid=461b02dc885841c0a798981c336f46f0,Bofou Safou (Africaine 808 Remix), Tom Sky,2807,13579,1,10,2807 13579,No,Yes
94567," - Łukasz Tomaszewski, Auntie Flo, Deena Abdelwahed, Renegades Of Jazz, Tom Sky - Cosmo Selektor 3047"," - Łukasz Tomaszewski, Auntie Flo, Deena Abdelwahed, Renegades Of Jazz, Tom Sky - Cosmo Selektor",Amadou + Mariam - Bofou Safou (Africaine 808 Remix),Amadou + Mariam,Bofou Safou (Africaine 808 Remix),Bofou Safou (Africaine 808 Remix),13itMacMFXrRqj51WBMSfk,https://p.scdn.co/mp3-preview/e828a56c019f49d6324219ca919117578f680bc8?cid=461b02dc885841c0a798981c336f46f0,Bofou Safou (Africaine 808 Remix),Łukasz Tomaszewski,3047,13579,2,10,3047 13579,No,Yes
94574," - Łukasz Tomaszewski, Tricky, Rodrigo da Matta, Auntie Flo, Booka Shade - COSMO Selektor 2369"," - Łukasz Tomaszewski, Tricky, Rodrigo da Matta, Auntie Flo, Booka Shade - COSMO Selektor",Amadou + Mariam - Bofou Safou (Africaine 808 Remix),Amadou + Mariam,Bofou Safou (Africaine 808 Remix),Bofou Safou (Africaine 808 Remix),13itMacMFXrRqj51WBMSfk,https://p.scdn.co/mp3-preview/e828a56c019f49d6324219ca919117578f680bc8?cid=461b02dc885841c0a798981c336f46f0,Bofou Safou (Africaine 808 Remix), Rodrigo da Matta,2369,13579,1,10,2369 13579,No,Yes
94573," - Łukasz Tomaszewski, Tricky, Rodrigo da Matta, Auntie Flo, Booka Shade - COSMO Selektor 2833"," - Łukasz Tomaszewski, Tricky, Rodrigo da Matta, Auntie Flo, Booka Shade - COSMO Selektor",Amadou + Mariam - Bofou Safou (Africaine 808 Remix),Amadou + Mariam,Bofou Safou (Africaine 808 Remix),Bofou Safou (Africaine 808 Remix),13itMacMFXrRqj51WBMSfk,https://p.scdn.co/mp3-preview/e828a56c019f49d6324219ca919117578f680bc8?cid=461b02dc885841c0a798981c336f46f0,Bofou Safou (Africaine 808 Remix), Tricky,2833,13579,1,10,2833 13579,No,Yes
94572," - Łukasz Tomaszewski, Tricky, Rodrigo da Matta, Auntie Flo, Booka Shade - COSMO Selektor 3047"," - Łukasz Tomaszewski, Tricky, Rodrigo da Matta, Auntie Flo, Booka Shade - COSMO Selektor",Amadou + Mariam - Bofou Safou (Africaine 808 Remix),Amadou + Mariam,Bofou Safou (Africaine 808 Remix),Bofou Safou (Africaine 808 Remix),13itMacMFXrRqj51WBMSfk,https://p.scdn.co/mp3-preview/e828a56c019f49d6324219ca919117578f680bc8?cid=461b02dc885841c0a798981c336f46f0,Bofou Safou (Africaine 808 Remix),Łukasz Tomaszewski,3047,13579,2,10,3047 13579,No,Yes
43695," - Łukasz Tomaszewski, Auntie Flo, Deena Abdelwahed, Renegades Of Jazz, Tom Sky - Cosmo Selektor 2324"," - Łukasz Tomaszewski, Auntie Flo, Deena Abdelwahed, Renegades Of Jazz, Tom Sky - Cosmo Selektor",Jacques Greene - You Can't Deny,Jacques Greene,You Can't Deny,You Can't Deny,1FFrGaSjTxHJcrwTZDZ9mH,https://p.scdn.co/mp3-preview/d8365b1b84fec90a7ca0e8f146fd17b4c05e6da6?cid=461b02dc885841c0a798981c336f46f0,You Can't Deny, Renegades Of Jazz,2324,17151,1,12,2324 17151,No,Yes
